,,,,,,,,,,,,,,,,,,,
id,Match #,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,Result Type,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
60,1,2008,Bangalore,"April 18, 2008",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Kolkata Knight Riders,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,
61,2,2008,Chandigarh,"April 19, 2008",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,
62,3,2008,Delhi,"April 19, 2008",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Win By Wickets,Delhi Daredevils,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,
63,4,2008,Mumbai,"April 20, 2008",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,
64,5,2008,Kolkata,"April 20, 2008",Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,5,DJ Hussey,IP,BF Bowden,K Hariharan,
65,6,2008,Jaipur,"April 21, 2008",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Win By Wickets,Rajasthan Royals,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
66,7,2008,Hyderabad,"April 22, 2008",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Win By Wickets,Delhi Daredevils,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,
67,8,2008,Chennai,"April 23, 2008",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Chennai Super Kings,6,0,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar,
68,9,2008,Hyderabad,"April 24, 2008",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson,
69,10,2008,Chandigarh,"April 25, 2008",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Kings XI Punjab,66,0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba,
70,11,2008,Bangalore,"April 26, 2008",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,
71,12,2008,Chennai,"April 26, 2008",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Chennai Super Kings,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash,
72,13,2008,Mumbai,"April 27, 2008",Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Wickets,Deccan Chargers,0,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
73,14,2008,Chandigarh,"April 27, 2008",Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Win By Wickets,Kings XI Punjab,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram,
74,15,2008,Bangalore,"April 28, 2008",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,
75,16,2008,Kolkata,"April 29, 2008",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Mumbai Indians,0,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash,
76,17,2008,Delhi,"April 30, 2008",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Delhi Daredevils,10,0,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram,
77,18,2008,Hyderabad,"May 1, 2008",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,7,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,RB Tiffin,
